 P.CHAVE  MODIFICACOES E INDICES
 XXXXXXXX XXXXXXXXXXXXXXXXXXXXX
 USINA    1                                 CAMARGOS    
 VAZMIN       34
 VMAXT    12 2023  71.700 '%'
 VMAXT     1 2024  79.200 '%'
 VMAXT     2 2024  91.100 '%'
 VMAXT     3 2024 100.000 '%'
 VMAXT    12 2024  73.200 '%'
 VMAXT     1 2025  80.700 '%'
 VMAXT     2 2025  91.100 '%'
 VMAXT     3 2025  95.500 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    12 2025  73.200 '%'
 VMAXT     1 2026  80.700 '%'
 VMAXT     2 2026  91.100 '%'
 VMAXT     3 2026  95.500 '%'
 VMAXT     4 2026 100.000 '%'
 VMAXT    12 2026  73.200 '%'
 VMAXT     1 2027  80.700 '%'
 VMAXT     2 2027  91.100 '%'
 VMAXT     3 2027  95.500 '%'
 VMAXT     4 2027 100.000 '%'
 VMAXT    12 2027  73.200 '%'
 USINA    2                                 ITUTINGA    
 VAZMIN       34
 USINA    4                                 FUNIL-GRANDE
 VAZMIN       70
 USINA    6                                 FURNAS      
 VAZMIN      131
 VMAXT    11 2023  97.200 '%'
 VMAXT    12 2023  94.400 '%'
 VMAXT     1 2024  94.900 '%'
 VMAXT     2 2024  96.500 '%'
 VMAXT     3 2024  98.000 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  94.600 '%'
 VMAXT    12 2024  91.900 '%'
 VMAXT     1 2025  94.900 '%'
 VMAXT     2 2025  97.200 '%'
 VMAXT     3 2025  98.900 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  94.600 '%'
 VMAXT    12 2025  91.900 '%'
 VMAXT     1 2026  94.900 '%'
 VMAXT     2 2026  97.200 '%'
 VMAXT     3 2026  98.900 '%'
 VMAXT     4 2026 100.000 '%'
 VMAXT    11 2026  94.600 '%'
 VMAXT    12 2026  91.900 '%'
 VMAXT     1 2027  94.900 '%'
 VMAXT     2 2027  97.200 '%'
 VMAXT     3 2027  98.900 '%'
 VMAXT     4 2027 100.000 '%'
 VMAXT    11 2027  94.600 '%'
 VMAXT    12 2027  91.900 '%'
 USINA    7                                 M. DE MORAES
 VAZMIN      149
 VMINT    11 2023  13.230 '%'
 VMAXT    11 2023  84.800 '%'
 VMAXT    12 2023  80.000 '%'
 VMAXT     1 2024  80.600 '%'
 VMAXT     2 2024  86.600 '%'
 VMAXT     3 2024  94.100 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  80.000 '%'
 VMAXT     3 2025  91.600 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  80.000 '%'
 VMAXT     3 2026  91.600 '%'
 VMAXT     4 2026 100.000 '%'
 VMAXT    11 2026  80.000 '%'
 VMAXT     3 2027  91.600 '%'
 VMAXT     4 2027 100.000 '%'
 VMAXT    11 2027  80.000 '%'
 USINA    8                                 ESTREITO    
 VAZMIN      153
 USINA    9                                 JAGUARA     
 VAZMIN      168
 USINA    10                                IGARAPAVA   
 VAZMIN      172
 USINA    11                                VOLTA GRANDE
 VAZMIN      178
 USINA    12                                P. COLOMBIA 
 VAZMIN      189
 USINA    14                                CACONDE     
 VAZMINT  11 2023   32.00
 VMAXT    11 2023  98.000 '%'
 VMAXT    12 2023  94.100 '%'
 VMAXT     1 2024  96.000 '%'
 VMAXT     2 2024  98.000 '%'
 VMAXT     3 2024 100.000 '%'
 VMAXT    11 2024  96.000 '%'
 VMAXT    12 2024  92.100 '%'
 VMAXT     1 2025  94.100 '%'
 VMAXT     2 2025  96.000 '%'
 VMAXT     3 2025  98.000 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  96.000 '%'
 VMAXT    12 2025  92.100 '%'
 VMAXT     1 2026  94.100 '%'
 VMAXT     2 2026  96.000 '%'
 VMAXT     3 2026  98.000 '%'
 VMAXT     4 2026 100.000 '%'
 VMAXT    11 2026  96.000 '%'
 VMAXT    12 2026  92.100 '%'
 VMAXT     1 2027  94.100 '%'
 VMAXT     2 2027  96.000 '%'
 VMAXT     3 2027  98.000 '%'
 VMAXT     4 2027 100.000 '%'
 VMAXT    11 2027  96.000 '%'
 VMAXT    12 2027  92.100 '%'
 USINA    16                                A.S.OLIVEIRA
 VAZMINT  11 2023   19.00
 USINA    17                                MARIMBONDO  
 VAZMINT  11 2023  312.00
 VMAXT    11 2023  78.100 '%'
 VMAXT    12 2023  65.300 '%'
 VMAXT     1 2024  75.300 '%'
 VMAXT     2 2024  79.600 '%'
 VMAXT     3 2024  85.900 '%'
 VMAXT     4 2024  91.000 '%'
 VMAXT    11 2024  61.600 '%'
 VMAXT    12 2024  51.800 '%'
 VMAXT     1 2025  63.700 '%'
 VMAXT     2 2025  72.700 '%'
 VMAXT     3 2025  84.000 '%'
 VMAXT     4 2025  91.000 '%'
 VMAXT    11 2025  61.600 '%'
 VMAXT    12 2025  51.800 '%'
 VMAXT     1 2026  63.700 '%'
 VMAXT     2 2026  72.700 '%'
 VMAXT     3 2026  84.000 '%'
 VMAXT     4 2026  91.000 '%'
 VMAXT    11 2026  61.600 '%'
 VMAXT    12 2026  51.800 '%'
 VMAXT     1 2027  63.700 '%'
 VMAXT     2 2027  72.700 '%'
 VMAXT     3 2027  84.000 '%'
 VMAXT     4 2027  91.000 '%'
 VMAXT    11 2027  61.600 '%'
 VMAXT    12 2027  51.800 '%'
 USINA    18                                A. VERMELHA 
 VMAXT    11 2023  85.300 '%'
 VMAXT    12 2023  68.000 '%'
 VMAXT     2 2024  87.200 '%'
 VMAXT     3 2024  94.300 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  58.700 '%'
 VMAXT    12 2024  57.500 '%'
 VMAXT     1 2025  68.900 '%'
 VMAXT     2 2025  79.100 '%'
 VMAXT     3 2025  92.000 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  58.700 '%'
 VMAXT    12 2025  57.500 '%'
 VMAXT     1 2026  68.900 '%'
 VMAXT     2 2026  79.100 '%'
 VMAXT     3 2026  92.000 '%'
 VMAXT     4 2026 100.000 '%'
 VMAXT    11 2026  58.700 '%'
 VMAXT    12 2026  57.500 '%'
 VMAXT     1 2027  68.900 '%'
 VMAXT     2 2027  79.100 '%'
 VMAXT     3 2027  92.000 '%'
 VMAXT     4 2027 100.000 '%'
 VMAXT    11 2027  58.700 '%'
 VMAXT    12 2027  57.500 '%'
 USINA    20                                BATALHA     
 VAZMINT  11 2023   30.10
 VAZMINT   5 2024   23.00
 VAZMINT  11 2024   30.10
 VAZMINT   5 2025   23.00
 VAZMINT  11 2025   30.10
 VAZMINT   5 2026   23.00
 VAZMINT  11 2026   30.10
 VAZMINT   5 2027   23.00
 VAZMINT  11 2027   30.10
 USINA    24                                EMBORCACAO  
 VMAXT    11 2023  96.500 '%'
 VMAXT    12 2023  96.700 '%'
 VMAXT     1 2024  97.100 '%'
 VMAXT     2 2024  97.800 '%'
 VMAXT     3 2024  98.500 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  95.800 '%'
 VMAXT    12 2024  95.300 '%'
 VMAXT     1 2025  96.100 '%'
 VMAXT     2 2025  98.000 '%'
 VMAXT     3 2025  99.200 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  95.800 '%'
 VMAXT    12 2025  95.300 '%'
 VMAXT     1 2026  96.100 '%'
 VMAXT     2 2026  98.000 '%'
 VMAXT     3 2026  99.200 '%'
 VMAXT     4 2026 100.000 '%'
 VMAXT    11 2026  95.800 '%'
 VMAXT    12 2026  95.300 '%'
 VMAXT     1 2027  96.100 '%'
 VMAXT     2 2027  98.000 '%'
 VMAXT     3 2027  99.200 '%'
 VMAXT     4 2027 100.000 '%'
 VMAXT    11 2027  95.800 '%'
 VMAXT    12 2027  95.300 '%'
 USINA    25                                NOVA PONTE  
 VAZMINT  11 2023   55.00
 VAZMINT   5 2024   40.00
 VAZMINT  11 2024   55.00
 VAZMINT   5 2025   40.00
 VAZMINT  11 2025   55.00
 VAZMINT   5 2026   40.00
 VAZMINT  11 2026   55.00
 VAZMINT   5 2027   40.00
 VAZMINT  11 2027   55.00
 VMAXT    11 2023  97.200 '%'
 VMAXT    12 2023  97.300 '%'
 VMAXT     1 2024  97.600 '%'
 VMAXT     2 2024  98.100 '%'
 VMAXT     3 2024  98.700 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  96.600 '%'
 VMAXT    12 2024  96.200 '%'
 VMAXT     1 2025  96.800 '%'
 VMAXT     2 2025  98.500 '%'
 VMAXT     3 2025  99.400 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  96.600 '%'
 VMAXT    12 2025  96.200 '%'
 VMAXT     1 2026  96.800 '%'
 VMAXT     2 2026  98.500 '%'
 VMAXT     3 2026  99.400 '%'
 VMAXT     4 2026 100.000 '%'
 VMAXT    11 2026  96.600 '%'
 VMAXT    12 2026  96.200 '%'
 VMAXT     1 2027  96.800 '%'
 VMAXT     2 2027  98.500 '%'
 VMAXT     3 2027  99.400 '%'
 VMAXT     4 2027 100.000 '%'
 VMAXT    11 2027  96.600 '%'
 VMAXT    12 2027  96.200 '%'
 USINA    26                                MIRANDA     
 VAZMINT  11 2023  135.00
 VAZMINT   5 2024   42.00
 VAZMINT  11 2024  135.00
 VAZMINT   5 2025   42.00
 VAZMINT  11 2025  135.00
 VAZMINT   5 2026   42.00
 VAZMINT  11 2026  135.00
 VAZMINT   5 2027   42.00
 VAZMINT  11 2027  135.00
 USINA    27                                CAPIM BRANC1
 VAZMIN       72
 USINA    28                                CAPIM BRANC2
 VAZMIN       72
 USINA    29                                CORUMBA IV  
 VAZMINT  11 2023   13.70
 USINA    30                                CORUMBA I   
 VAZMIN      120
 USINA    31                                ITUMBIARA   
 VAZMIN       70
 VMAXT    11 2023  90.900 '%'
 VMAXT    12 2023  88.600 '%'
 VMAXT     1 2024  91.700 '%'
 VMAXT     2 2024  94.900 '%'
 VMAXT     3 2024  97.500 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  88.600 '%'
 VMAXT    12 2024  82.400 '%'
 VMAXT     1 2025  89.300 '%'
 VMAXT     2 2025  93.300 '%'
 VMAXT     3 2025  97.400 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  88.600 '%'
 VMAXT    12 2025  82.400 '%'
 VMAXT     1 2026  89.300 '%'
 VMAXT     2 2026  93.300 '%'
 VMAXT     3 2026  97.400 '%'
 VMAXT     4 2026 100.000 '%'
 VMAXT    11 2026  88.600 '%'
 VMAXT    12 2026  82.400 '%'
 VMAXT     1 2027  89.300 '%'
 VMAXT     2 2027  93.300 '%'
 VMAXT     3 2027  97.400 '%'
 VMAXT     4 2027 100.000 '%'
 VMAXT    11 2027  88.600 '%'
 VMAXT    12 2027  82.400 '%'
 USINA    32                                CACH.DOURADA
 VAZMIN       20
 USINA    33                                SAO SIMAO   
 VAZMIN      450
 VMAXT    11 2023  80.400 '%'
 VMAXT    12 2023  65.200 '%'
 VMAXT     2 2024  86.000 '%'
 VMAXT     3 2024  93.800 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  51.300 '%'
 VMAXT     1 2025  54.400 '%'
