&d hh m             cotR11
&X XX X         XXXXXXXXXX
 8  0 0             112.89
 8  0 1             112.91
 8  1 0             112.93
 8  1 1             112.96
 8  2 0             113.00
 8  2 1             113.01
 8  3 0             113.01
 8  3 1             113.01
 8  4 0             113.01
 8  4 1             113.01
 8  5 0             113.01
 8  5 1             113.02
 8  6 0             113.03
 8  6 1             113.03
 8  7 0             113.03
 8  7 1             113.04
 8  8 0             113.04
 8  8 1             113.03
 8  9 0             113.03
 8  9 1             113.02
 8 10 0             113.00
 8 10 1             112.99
 8 11 0             112.99
 8 11 1             112.99
 8 12 0             112.98
 8 12 1             112.99
 8 13 0             112.98
 8 13 1             112.96
 8 14 0             112.95
 8 14 1             112.93
 8 15 0             112.92
 8 15 1             112.92
 8 16 0             112.94
 8 16 1             112.97
 8 17 0             113.02
 8 17 1             113.06
 8 18 0             113.10
 8 18 1             113.13
 8 19 0             113.15
 8 19 1             113.17
 8 20 0             113.19
 8 20 1             113.20
 8 21 0             113.20
 8 21 1             113.21
 8 22 0             113.22
 8 22 1             113.23
 8 23 0             113.24
 8 23 1             113.22
