NUMERO DE USINAS
XXX
164
NUMERO DAS USINAS NO CADASTRO
1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83  84  85  86  87  88  89  90  91  92  93  94  95  96  97  98  99  100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 
XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX 
1   2   4   24  27  28  25  33  156 134 10  143 162 148 217 193 141 14  18  37  40  42  15  16  38  39  62  63  52  51  47  49  61  50  45  43  34  153 46  120 121 6   7   8   12  17  31  30  251 278 123 129 20  287 257 122 124 130 185 131 133 125 180 181 182 147 146 107 108 109 117 118 119 32  11  135 139 262 88  89  144 66  110 111 112 113 114 74  76  82  83  115 73  71  72  57  77  78  93  91  92  252 253 267 281 9   26  86  90  97  98  99  103 169 172 173 174 175 178 190 189 275 272 279 280 204 127 126 283 261 48  249 241 304 305 196 195 95  203 154 310 29  94  215 155 311 312 315 21  290 101 276 102 277 285 286 284 227 228 229 192 230 288 314 
Hr  Dd  Mm  Ano
XX  XX  XX  XXXX
00  09  11  2023
Dia inic(1-SAB...7-SEX); sem da FCF; n. semanas; pre-interesse
X X X X
6 1 1 0
VAZOES DIARIAS PARA CADA USINA (m3/s)
NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
  1 CAMARGOS       1    09      F                  87
  1 CAMARGOS       1    10      F                  81
  2 ITUTINGA       1    09      F                   0
  4 FUNIL-GRANDE   1    09      F                  86
  4 FUNIL-GRANDE   1    10      F                  80
 24 EMBORCACAO     1    09      F                  52
 24 EMBORCACAO     1    10      F                  46
 27 CAPIM BRANC1   1    09      F                   1
 28 CAPIM BRANC2   1    09      F                   1
 25 NOVA PONTE     1    09      F                 158
 25 NOVA PONTE     1    10      F                 145
 33 SAO SIMAO      1    09      F                 384
 33 SAO SIMAO      1    10      F                 353
156 TRES MARIAS    1    09      F                 227
156 TRES MARIAS    1    10      F                 204
134 SALTO GRANDE   1    09      F                  40
134 SALTO GRANDE   1    10      F                  37
 10 IGARAPAVA      1    09      F                  16
143 AIMORES        1    09      F                  45
143 AIMORES        1    10      F                  42
162 QUEIMADO       1    09      F                  11
162 QUEIMADO       1    10      F                  10
148 IRAPE          1    09      F                  88
148 IRAPE          1    10      F                  72
217 ROSAL          1    09      F                  23
217 ROSAL          1    10      F                  21
193 SA CARVALHO    1    09      F                   1
141 BAGUARI        1    09      F                 105
141 BAGUARI        1    10      F                  97
 14 CACONDE        1    09      F                  42
 14 CACONDE        1    10      F                  39
 18 A. VERMELHA    1    09      F                 175
 18 A. VERMELHA    1    10      F                 159
 37 BARRA BONITA   1    09      F                 187
 37 BARRA BONITA   1    10      F                 173
 40 PROMISSAO      1    09      F                  45
 40 PROMISSAO      1    10      F                  44
 42 NAVANHANDAVA   1    09      F                  18
 15 E. DA CUNHA    1    09      F                  27
 15 E. DA CUNHA    1    10      F                  25
 16 A.S.OLIVEIRA   1    09      F                   1
 38 A.S. LIMA      1    09      F                  47
 38 A.S. LIMA      1    10      F                  46
 39 IBITINGA       1    09      F                  91
 39 IBITINGA       1    10      F                  89
 62 TAQUARUCU      1    09      F                  30
 63 ROSANA         1    09      F                  71
 63 ROSANA         1    10      F                  70
 52 CANOAS I       1    09      F                   8
 52 CANOAS I       1    10      F                   9
 51 CANOAS II      1    09      F                   4
 47 A.A. LAYDNER   1    09      F                 205
 47 A.A. LAYDNER   1    10      F                 187
 49 CHAVANTES      1    09      F                 123
 49 CHAVANTES      1    10      F                 113
 61 CAPIVARA       1    09      F                 276
 61 CAPIVARA       1    10      F                 240
 50 L.N. GARCEZ    1    09      F                  48
 50 L.N. GARCEZ    1    10      F                  54
 45 JUPIA          1    09      F                 224
 45 JUPIA          1    10      F                 218
 43 TRES IRMAOS    1    09      F                   9
 34 I. SOLTEIRA    1    09      F                 147
 34 I. SOLTEIRA    1    10      F                 134
153 SAO DOMINGOS   1    09      F                  81
153 SAO DOMINGOS   1    10      F                  80
 46 P. PRIMAVERA   1    09      F                 382
 46 P. PRIMAVERA   1    10      F                 364
120 JAGUARI        1    09      F                  16
120 JAGUARI        1    10      F                  15
121 PARAIBUNA      1    09      F                  58
121 PARAIBUNA      1    10      F                  54
  6 FURNAS         1    09      F                 458
  6 FURNAS         1    10      F                 423
  7 M. DE MORAES   1    09      F                  60
  7 M. DE MORAES   1    10      F                  57
  8 ESTREITO       1    09      F                  14
  8 ESTREITO       1    10      F                  13
 12 P. COLOMBIA    1    09      F                  90
