&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    08 00 0  F                  95
DEFANT     4    6  H    08 00 0  F                 161
DEFANT     6    7  H    08 00 0  F                 637
DEFANT     7    8  H    08 00 0  F                 814
DEFANT     8    9  H    08 00 0  F                 732
DEFANT     9   10  H    08 00 0  F                 735
DEFANT    10   11  H    08 00 0  F                 787
DEFANT    11   12  H    08 00 0  F                 842
DEFANT    12   17  H    08 00 0  F                 911
DEFANT    14   15  H    08 00 0  F                  32
DEFANT    15   16  H    08 00 0  F                  51
DEFANT    16   17  H    06 00 0  F                 116
DEFANT    16   17  H    07 00 0  F                  69
DEFANT    16   17  H    08 00 0  F                  74
DEFANT    17   18  H    08 00 0  F                1278
DEFANT    18   34  H    08 00 0  F                1446
DEFANT    20   21  H    08 00 0  F                  52
DEFANT    21   24  H    08 00 0  F                  94
DEFANT    24   31  H    08 00 0  F                 220
DEFANT    25   26  H    08 00 0  F                 288
DEFANT    26   27  H    08 00 0  F                 229
DEFANT    27   28  H    08 00 0  F                 210
DEFANT    28   31  H    08 00 0  F                 187
DEFANT    29  203  H    08 00 0  F                  88
DEFANT    30   31  H    08 00 0  F                 286
DEFANT    31   32  H    08 00 0  F                1153
DEFANT    32   33  H    08 00 0  F                1155
DEFANT    33   34  H    08 00 0  F                1420
DEFANT    34   45  H    08 00 0  F                3936
DEFANT    37   38  H    08 00 0  F                 259
DEFANT    38   39  H    08 00 0  F                 189
DEFANT    39   40  H    08 00 0  F                 660
DEFANT    40   42  H    08 00 0  F                1147
DEFANT    42   43  H    08 00 0  F                1138
DEFANT    43   45  H    08 00 0  F                 987
DEFANT    45   46  H    08 00 0  F                5116
DEFANT    46   66  H    07 00 0  F                5889
DEFANT    46   66  H    08 00 0  F                5289
DEFANT    47   48  H    08 00 0  F                 161
DEFANT    48   49  H    08 00 0  F                 158
DEFANT    49  249  H    08 00 0  F                 313
DEFANT    50   51  H    08 00 0  F                 303
DEFANT    51   52  H    08 00 0  F                 308
DEFANT    52   61  H    08 00 0  F                 333
DEFANT    57   61  H    08 00 0  F                1700
DEFANT    61   62  H    08 00 0  F                2404
DEFANT    62   63  H    08 00 0  F                2187
DEFANT    63   66  H    07 00 0  F                2672
DEFANT    63   66  H    08 00 0  F                2268
DEFANT    71   72  H    08 00 0  F                 537
DEFANT    72   73  H    08 00 0  F                 524
DEFANT    73   77  H    08 00 0  F                 420
DEFANT    74   76  H    08 00 0  F                4210
DEFANT    76   77  H    08 00 0  F                4692
DEFANT    77   78  H    08 00 0  F                5612
DEFANT    78   82  H    08 00 0  F                5844
DEFANT    82   83  H    08 00 0  F                7074
DEFANT    86   91  H    08 00 0  F                 422
DEFANT    88   89  H    08 00 0  F                1439
DEFANT    89   90  H    08 00 0  F                1277
DEFANT    90   91  H    08 00 0  F                1689
DEFANT    91   92  H    08 00 0  F                2078
DEFANT    92  103  H    08 00 0  F                3110
DEFANT    93   94  H    08 00 0  F                 198
