& CONDICOES INICIAIS DAS UNIDADES                
&                                                
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
CROSSOVER 0 0 0 0
&ENGOLIMENTO 0
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
  1  ANGRA 1        1    0        0.000    288  1  0  0          0.
  4  ST.CRUZ 34     3    0        0.000   3480  0  0  0          0.
  4  ST.CRUZ 34     4    0        0.000   3480  0  0  0          0.
 12  CUIABA G CC    1    0        0.000  19584  1  0  0          0.
 12  CUIABA G CC    2    0        0.000  20088  0  0  0          0.
 12  CUIABA G CC    3    0        0.000  12552  0  0  0          0.
 13  ANGRA 2        1    0        0.000   1080  0  0  0          0.
 15  LINHARES       1    0        0.000   5018  0  0  0          0.
 15  LINHARES       2    0        0.000   5043  1  0  0          0.
 15  LINHARES       3    0        0.000   5040  0  0  0          0.
 15  LINHARES       4    0        0.000   5062  1  0  0          0.
 21  MARANHAO V     1    0        0.000    113  1  0  0          0.
 24  J.LACERDA C    7    1      320.000    600  0  0  2        320.
 25  J.LACERDA B    5    1      110.000    168  0  0  2        110.
 25  J.LACERDA B    6    0        0.000  12983  0  0  0        110.
 26  J.LACERDA A1   1    0        0.000  18239  0  0  0          0.
 26  J.LACERDA A1   2    0        0.000  18325  1  0  0          0.
 27  J.LACERDA A2   3    1       55.000    672  0  0  2        105.
 27  J.LACERDA A2   4    1       50.000    696  0  0  2        105.
 28  FIGUEIRA       1    0        0.000    528  0  0  0          0.
 35  URUGUAIANA     1    0        0.000   3480  0  0  0          0.
 35  URUGUAIANA     2    0        0.000   3480  0  0  0          0.
 35  URUGUAIANA     3    0        0.000   3480  0  0  0          0.
 36  MARANHAO IV    1    0        0.000    113  1  0  0          0.
 42  FORTALEZA      1    0        0.000   1968  0  0  0          0.
 42  FORTALEZA      2    0        0.000   1968  0  0  0          0.
 42  FORTALEZA      3    0        0.000  21360  0  0  0          0.
 43  TERMOBAHIA     1    0        0.000  12239  0  0  0          0.
 46  N.VENECIA 2    1    0        0.000  18263  1  0  0          0.
 47  TERMORIO       1    0        0.000  14976  0  0  0          0.
 47  TERMORIO       2    0        0.000  15662  1  0  0          0.
 47  TERMORIO       3    0        0.000  21000  0  0  0          0.
 47  TERMORIO       4    0        0.000  20122  0  0  0          0.
 47  TERMORIO       5    0        0.000   1224  0  0  0          0.
 47  TERMORIO       6    0        0.000  14294  0  0  0          0.
 47  TERMORIO       7    0        0.000  19350  1  0  0          0.
 47  TERMORIO       8    0        0.000  18528  0  0  0          0.
 47  TERMORIO       9    0        0.000  19248  0  0  0          0.
 47  TERMORIO      10    0        0.000   1224  0  0  0          0.
 47  TERMORIO      11    0        0.000  18624  1  0  0          0.
 47  TERMORIO      12    0        0.000   8976  0  0  0          0.
 47  TERMORIO      13    0        0.000  19248  0  0  0          0.
 47  TERMORIO      14    0        0.000  18984  0  0  0          0.
 47  TERMORIO      15    0        0.000   9646  0  0  0          0.
 47  TERMORIO      16    0        0.000  18264  0  0  0          0.
 47  TERMORIO      17    0        0.000  13702  1  0  0          0.
 47  TERMORIO      18    0        0.000  14376  0  0  0          0.
 47  TERMORIO      19    0        0.000  12456  1  0  0          0.
 47  TERMORIO      20    0        0.000  14566  1  0  0          0.
 47  TERMORIO      21    0        0.000  11469  0  0  0          0.
 47  TERMORIO      22    0        0.000  24065  1  0  0          0.
 47  TERMORIO      23    0        0.000  30960  1  0  0          0.
 47  TERMORIO      24    0        0.000   1224  0  0  0          0.
 47  TERMORIO      25    0        0.000   1224  0  0  0          0.
 47  TERMORIO      26    0        0.000   1224  0  0  0          0.
 47  TERMORIO      27    0        0.000  18744  0  0  0          0.
 47  TERMORIO      28    0        0.000   1224  0  0  0          0.
 47  TERMORIO      29    0        0.000   1224  0  0  0          0.
 47  TERMORIO      30    0        0.000   1224  0  0  0          0.
 47  TERMORIO      31    0        0.000  23239  0  0  0          0.
 48  ARAUCARIA      1    0        0.000  31654  1  0  0          0.
 48  ARAUCARIA      2    0        0.000  18928  1  0  0          0.
 48  ARAUCARIA      3    0        0.000  19826  1  0  0          0.
 49  VIANA          3    0        0.000  17376  1  0  0          0.
 49  VIANA          4    0        0.000  17375  0  0  0          0.
 49  VIANA          1    0        0.000  18881  0  0  0          0.
 49  VIANA          2    0        0.000  17362  1  0  0          0.
 50  PIRAT.12 G     1    0        0.000   3480  0  0  0          0.
 50  PIRAT.12 G     2    0        0.000   3480  0  0  0          0.
 52  CAMPINA GDE    1    0        0.000  18936  0  0  0          0.
 52  CAMPINA GDE    2    0        0.000  18936  0  0  0          0.
 52  CAMPINA GDE    3    0        0.000  18936  0  0  0          0.
 52  CAMPINA GDE    4    0        0.000  18935  1  0  0          0.
 53  GLOBAL I       1    0        0.000  20275  0  0  0          0.
 53  GLOBAL I       2    0        0.000  20310  0  0  0          0.
 53  GLOBAL I       3    0        0.000  19419  0  0  0          0.
 53  GLOBAL I       4    0        0.000  32328  0  0  0          0.
 53  GLOBAL I       5    0        0.000  19380  1  0  0          0.
 53  GLOBAL I       6    0        0.000  20304  1  0  0          0.
 53  GLOBAL I       7    0        0.000  19011  1  0  0          0.
 53  GLOBAL I       8    0        0.000  18984  0  0  0          0.
 53  GLOBAL I       9    0        0.000  19392  1  0  0          0.
 53  GLOBAL I      10    0        0.000  19034  0  0  0          0.
 53  GLOBAL I      11    0        0.000  18934  1  0  0          0.
 54  JUIZ DE FORA   1    0        0.000   9024  0  0  0          0.
 54  JUIZ DE FORA   2    0        0.000   9024  0  0  0          0.
 55  GLOBAL II      1    0        0.000  19096  0  0  0          0.
 55  GLOBAL II      2    0        0.000  18999  0  0  0          0.
 55  GLOBAL II      3    0        0.000  19101  0  0  0          0.
 55  GLOBAL II      4    0        0.000  19418  0  0  0          0.
 55  GLOBAL II      5    0        0.000  32328  0  0  0          0.
 55  GLOBAL II      6    0        0.000  32328  0  0  0          0.
 55  GLOBAL II      7    0        0.000  19016  1  0  0          0.
 55  GLOBAL II      8    0        0.000  19087  1  0  0          0.
 55  GLOBAL II      9    0        0.000  19154  1  0  0          0.
 55  GLOBAL II     10    0        0.000  18992  0  0  0          0.
 55  GLOBAL II     11    0        0.000  18934  1  0  0          0.
 57  MARACANAU I    1    0        0.000  18935  1  0  0          0.
 57  MARACANAU I    2    0        0.000  20229  1  0  0          0.
 57  MARACANAU I    3    0        0.000  18935  1  0  0          0.
 57  MARACANAU I    4    0        0.000  18935  1  0  0          0.
 57  MARACANAU I    5    0        0.000  22583  1  0  0          0.
 57  MARACANAU I    6    0        0.000  19118  0  0  0          0.
 57  MARACANAU I    7    0        0.000  19228  0  0  0          0.
 57  MARACANAU I    8    0        0.000  18975  0  0  0          0.
 58  TERMOCEARA     1    0        0.000  24714  0  0  0          0.
 58  TERMOCEARA     2    0        0.000  24671  0  0  0          0.
 58  TERMOCEARA     3    0        0.000  24678  1  0  0          0.
 58  TERMOCEARA     4    0        0.000    337  0  0  0          0.
 60  NORTEFLU       1    0        0.000   6768  0  0  0          0.
 60  NORTEFLU       2    0        0.000   6768  0  0  0          0.
 60  NORTEFLU       3    0        0.000   6768  0  0  0          0.
 60  NORTEFLU       4    0        0.000  10941  1  0  0          0.
 60  NORTEFLU       5    0        0.000  16313  0  0  0          0.
 60  NORTEFLU       6    0        0.000  11112  0  0  0          0.
 60  NORTEFLU       7    0        0.000  16918  0  0  0          0.
 62  SEROPEDICA     1    0        0.000    344  1  0  0          0.
 62  SEROPEDICA     2    0        0.000  16248  0  0  0          0.
 62  SEROPEDICA     3    0        0.000  15703  0  0  0          0.
 62  SEROPEDICA     4    0        0.000  15709  1  0  0          0.
 62  SEROPEDICA     5    0        0.000  16241  1  0  0          0.
 62  SEROPEDICA     6    0        0.000  18216  1  0  0          0.
 62  SEROPEDICA     7    0        0.000  14358  1  0  0          0.
 62  SEROPEDICA     8    0        0.000    215  0  0  0          0.
 63  IBIRITE        1    0        0.000  19224  0  0  0          0.
 64  CANOAS         1    0        0.000  18598  1  0  0          0.
 67  TERMONE        1    0        0.000   9812  0  0  0          0.
 67  TERMONE        2    0        0.000   9830  0  0  0          0.
 67  TERMONE        3    0        0.000   9927  0  0  0          0.
 68  TRES LAGOAS    1    0        0.000  19047  0  0  0          0.
 68  TRES LAGOAS    2    0        0.000  31199  0  0  0          0.
 68  TRES LAGOAS    3    0        0.000   3168  0  0  0          0.
 68  TRES LAGOAS    4    0        0.000  20892  0  0  0          0.
 68  TRES LAGOAS    5    0        0.000   1128  0  0  0          0.
